Date,Price,Volume
2017-02-17,149.5,1014.0
2017-02-16,149.1,721.0
2017-02-15,149.3,487.0
2017-02-14,149.5,1398.0
2017-02-13,149.2,846.0
2017-02-10,149.1,525.0
2017-02-09,149.6,393.0
2017-02-08,149.8,684.0
2017-02-07,148.2,940.0
2017-02-06,148.0,1350.0
2017-02-03,149.8,701.0
2017-02-02,147.6,753.0
2017-02-01,148.0,968.0
2017-01-31,148.0,436.0
2017-01-30,148.375,1538.0
2017-01-27,148.0,1076.0
2017-01-26,148.0,642.0
2017-01-25,148.5,1126.0
2017-01-24,148.0,1160.0
2017-01-23,148.625,604.0
2017-01-20,148.5,774.0
2017-01-19,150.0,996.0
2017-01-18,149.375,598.0
2017-01-17,149.0,1086.0
2017-01-16,149.0,1018.0
2017-01-13,150.0,708.0
2017-01-12,150.0,846.0
2017-01-11,149.75,1408.0
2017-01-10,148.625,742.0
2017-01-09,148.625,848.0
2017-01-06,149.25,420.0
2017-01-05,149.0,864.0
2017-01-04,148.0,1614.0
2017-01-03,148.875,820.0
2016-12-30,148.875,236.0
2016-12-29,148.875,1852.0
2016-12-28,148.75,1312.0
2016-12-27,148.375,520.0
2016-12-23,148.5,736.0
2016-12-22,147.75,620.0
2016-12-21,147.5,402.0
2016-12-20,148.0,414.0
2016-12-19,148.5,714.0
2016-12-16,148.0,308.0
2016-12-15,147.875,1452.0
2016-12-14,147.5,644.0
2016-12-13,147.875,432.0
2016-12-12,148.25,226.0
2016-12-09,148.25,382.0
2016-12-08,148.5,216.0
2016-12-07,148.25,906.0
2016-12-06,148.125,756.0
2016-12-05,146.875,2100.0
2016-12-02,147.875,614.0
2016-12-01,148.5,366.0
2016-11-30,148.5,1548.0
2016-11-29,148.625,296.0
2016-11-28,148.5,606.0
2016-11-25,148.625,628.0
2016-11-24,149.0,582.0
2016-11-23,148.625,566.0
2016-11-22,148.625,616.0
2016-11-21,148.75,938.0
2016-11-18,148.75,376.0
2016-11-17,148.5,368.0
2016-11-16,148.75,586.0
2016-11-15,148.5,1162.0
2016-11-14,147.75,600.0
2016-11-11,147.0,532.0
2016-11-10,146.375,374.0
2016-11-09,145.875,446.0
2016-11-08,145.125,556.0
2016-11-07,146.375,842.0
2016-11-04,145.0,820.0
2016-11-03,144.0,224.0
2016-11-02,144.5,378.0
2016-11-01,144.0,12772.0
2016-10-31,146.25,498.0
2016-10-28,146.25,232.0
2016-10-27,146.625,506.0
2016-10-26,146.25,96.0
2016-10-25,146.25,948.0
2016-10-24,146.5,986.0
2016-10-21,147.5,368.0
2016-10-20,147.375,400.0
2016-10-19,147.0,332.0
2016-10-18,146.75,654.0
2016-10-17,145.625,856.0
2016-10-14,145.75,310.0
2016-10-13,145.0,3192.0
2016-10-12,146.0,634.0
2016-10-11,145.0,628.0
2016-10-10,146.375,364.0
2016-10-07,146.125,214.0
2016-10-06,146.5,196.0
2016-10-05,146.625,336.0
2016-10-04,146.0,426.0
2016-10-03,146.5,596.0
2016-09-30,148.0,432.0
2016-09-29,148.25,632.0
2016-09-28,147.0,1650.0
2016-09-27,145.0,334.0
2016-09-26,145.5,1542.0
2016-09-23,145.75,33196.0
2016-09-22,145.875,750.0
2016-09-21,145.75,344.0
2016-09-20,146.0,7248.0
2016-09-19,147.25,1020.0
2016-09-16,147.375,620.0
2016-09-15,145.625,56.0
2016-09-14,145.75,538.0
2016-09-13,146.625,600.0
2016-09-12,146.375,150.0
2016-09-09,146.375,196.0
2016-09-08,146.375,10.0
2016-09-07,145.875,68.0
2016-09-06,146.625,156.0
2016-09-05,147.25,310.0
2016-09-02,146.625,404.0
